Programming languages,Web Development And libraries,Mobile development,Database Management,DevOps tool,Cloud platforms,Data Science and machine learning,Cybersecurity,Networking and Infra,Frontend stack,Backend technologies,Version Control,CI/CD Tools,Containerization,Monitoring,API Design,BigData Tech,Search Tools,Message Brokers,Blockchain tech,AI/NLP,Game design,UI/UX design,3D modeling,Cloud Management,AR/VR,Visualisation,Configuration and IAC,Internet of Things
Python,React,React Native,MySQL,Docker,AWS,TensorFlow,Wireshark,Cisco IOS,HTML5,Node.js,Git,Jenkins,Docker,Prometheus,REST,Apache Hadoop,Elasticsearch,Apache Kafka,Ethereum,TensorFlow,Unity,Sketch,Blender,VMware vSphere,ARKit,Tableau,Ansible,MQTT
JavaScript,Angular,Flutter,PostgreSQL,Kubernetes,Microsoft Azure,PyTorch,Metasploit,Juniper Junos,CSS3,.NET Core,SVN,Travis CI,Kubernetes,Grafana,GraphQL,Apache Spark,Solr,RabbitMQ,Solidity,PyTorch,Unreal Engine,Adobe XD,Autodesk Maya,Microsoft Hyper-V,ARCore,Power BI,Terraform,CoAP
Java,Vue.js,Xamarin,MongoDB,Jenkins,Google Cloud Platform,Scikit-learn,Nessus,MikroTik RouterOS,SASS,Java EE,Mercurial,GitLab CI,Docker Swarm,Splunk,OpenAPI,Apache Kafka,Sphinx,ActiveMQ,Hyperledger Fabric,NLTK,Godot,Figma,3ds Max,KVM,Unity,QlikView,Puppet,Zigbee
C#,Ember.js,Ionic,Redis,GitLab CI/CD,IBM Cloud,Keras,Nmap,pfSense,LESS,PHP 7+,Bitbucket,CircleCI,Apache Mesos,Datadog,Postman,Apache Flink,Apache Lucene,Redis Pub/Sub,Corda,spaCy,Phaser,InVision,Cinema 4D,Xen,Unreal Engine,D3.js,Chef,Z-Wave
C++,Svelte,Cordova,Cassandra,CircleCI,Oracle Cloud,Pandas,Burp Suite,OpenVPN,Webpack,Ruby on Rails,GitHub,Bamboo,OpenShift,New Relic,SOAP,Apache Storm,Microservices Architecture,Amazon SQS,Truffle Framework,GPT-3,Construct,Marvel,ZBrush,Oracle VM VirtualBox,Vuforia,Highcharts,SaltStack,LoRaWAN
TypeScript,jQuery,NativeScript,SQLite,Travis CI,Salesforce,NumPy,OWASP ZAP,WireGuard,Babel,Django,GitLab,TeamCity,Rancher,Zabbix,RAML,Apache Cassandra,Event-Driven Architecture,Slack,Bitcoin,BERT,GameMaker Studio,Balsamiq,Houdini,Amazon EC2,Oculus SDK,Google Charts,AWS CloudFormation,Bluetooth Low Energy (BLE)
PHP,Backbone.js,Swift UI,MariaDB,Ansible,Heroku,SciPy,Snort,F5 BIG-IP,Gulp,Flask,,Azure DevOps,Nomad,Loggly,Apigee,MongoDB,CQRS (Command Query Responsibility Segregation),Microsoft Teams,IPFS,Stanford NLP,CryEngine,Axure RP,SketchUp,Google Compute Engine,SteamVR,Apache Superset,Azure Resource Manager (ARM) Templates,NFC
Ruby,Django,Kotlin Multiplatform Mobile,Microsoft SQL Server,Terraform,DigitalOcean,Matplotlib,Kali Linux,Squid Proxy Server,Grunt,Spring Framework,,CodeShip,,Graylog,Kong,Elasticsearch,Event Sourcing,Asana,Chainlink,OpenAI APIs,Cocos2d-x,Adobe Photoshop,AutoCAD,VMware Workstation,Google VR,Looker,Google Cloud Deployment Manager,Arduino
Swift,Flask,Apache Weex,Oracle,Puppet,Linode,Seaborn,YARA,Apache HTTP Server,Tailwind CSS,Express.js,,Drone,,,Tyk,HBase,Service Mesh,Trello,EOS,IBM Watson,RPG Maker,Adobe Illustrator,SolidWorks,Parallels Desktop,Microsoft HoloLens,Grafana,Pulumi,Raspberry Pi
Kotlin,Express.js,,DynamoDB,Chef,Alibaba Cloud,Jupyter Notebook,Qualys,Nginx,Bootstrap,ASP.NET,,,,,Swagger,Apache Hive,API-First Design,JIRA,Stellar,Azure Cognitive Services,Blender Game Engine,Affinity Designer,Rhinoceros,Docker,WebVR,Matplotlib,Vagrant,ESP32
Scala,Spring Boot,,Elasticsearch,Vagrant,Amazon Web Services,Apache Spark,,,,,,,,,,Apache Airflow,Domain-Driven Design,Confluence,Jest,Kubeflow,,,,AWS Lambda,,,,
Go,Laravel,,Neo4j,Prometheus,,Hadoop,,,,,,,,,,Luigi,Twelve-Factor App Methodology,Monday.com,Mocha,MLflow,,,,Azure Functions,,,,
Rust,Ruby on Rails,,Couchbase,Grafana,,Fast.ai,,,,,,,,,,NiFi,Reactive Systems,Basecamp,Jasmine,TFX (TensorFlow Extended),,,,Google Cloud Functions,,,,
Dart,ASP.NET Core,,ArangoDB,Nagios,,OpenCV,,,,,,,,,,Sqoop,Bulkhead Pattern,ClickUp,Cypress,DVC (Data Version Control),,,,IBM Cloud Functions,,,,
Elixir,Phoenix (Elixir),,InfluxDB,ELK Stack,,NLTK,,,,,,,,,,Flume,,Notion,Selenium,Pachyderm,,,,Cloudflare Workers,,,,
Clojure,,,,Git,,,,,,,,,,,,Apache Beam,,,WebDriverIO,Seldon,,,,OpenWhisk,,,,
Haskell,,,,Elasticsearch,,,,,,,,,,,,Delta Lake,,,Protractor,Neptune.ai,,,,Kubeless,,,,
R,,,,Logstash,,,,,,,,,,,,Snowflake,,,TestCafe,Comet.ml,,,,Fission,,,,
MATLAB,,,,Kibana,,,,,,,,,,,,Redshift,,,Puppeteer,Weights & Biases,,,,Fn Project,,,,
Objective-C,,,,,,,,,,,,,,,,Azure Data Factory,,,Playwright,ClearML,,,,Serverless Framework,,,,